,forecast
1972-10-01,7023.698908348166
1972-11-01,9996.175749902151
1972-12-01,12891.998010664172
1973-01-01,4561.379749426909
1973-02-01,3718.6948212314646
1973-03-01,4792.24015153282
1973-04-01,5034.490141665982
1973-05-01,5047.836493024915
1973-06-01,5488.453145662898
1973-07-01,4593.507666567532
1973-08-01,1676.0183889459834
1973-09-01,6144.7505239543225
1973-10-01,7261.946233916679
1973-11-01,10194.422702092463
1973-12-01,13057.169926534692
1974-01-01,4730.978273592891
1974-02-01,3915.1004959558913
1974-03-01,4961.175600184111
1974-04-01,5189.23762460755
1974-05-01,5119.280003215261
1974-06-01,5675.0272896882425
1974-07-01,4725.987258515232
1974-08-01,1823.260198473522
1974-09-01,6289.842212428721
